Country/Other,Population (2020),Yearly Change,Net Change,Density (P/KmÂ²),Land Area (KmÂ²),Migrants (net),Fert. Rate,Med. Age,Urban Pop %,World Share,Area
Argentina,45195774,0.93,415097,17,2736690,4800,2.3,32,93,0.58,South American
Venezuela,28435940,-0.28,-79889,32,882050,-653249,2.3,30,,0.36,South American
Brazil,212559417,0.72,1509890,25,8358140,21200,1.7,33,88,2.73,South American
Bolivia,11673021,1.39,159921,11,1083300,-9504,2.8,26,69,0.15,South American
Chile,19116201,0.87,164163,26,743532,111708,1.7,35,85,0.25,South American
Colombia,50882891,1.08,543448,46,1109500,204796,1.8,31,80,0.65,South American
Ecuador,17643054,1.55,269392,71,248360,36400,2.4,28,63,0.23,South American
Guyana,786552,0.48,3786,4,196850,-6000,2.5,27,27,0.01,South American
Peru,32971854,1.42,461401,26,1280000,99069,2.3,31,79,0.42,South American
Guinea,13132795,2.83,361549,53,245720,-4000,4.7,18,39,0.17,South American
Paraguay,7132538,1.25,87902,18,397300,-16556,2.4,26,62,0.09,South American
Suriname,586632,0.9,5260,4,156000,-1000,2.4,29,65,0.01,South American
Uruguay,3473730,0.35,11996,20,175020,-3000,2,36,96,0.04,South American
Antigua and Barbuda,97929,0.84,811,223,440,0,2,34,26,0,North American
Aruba,106766,0.43,452,593,180,201,1.9,41,44,0,North American
Bahamas,393244,0.97,3762,39,10010,1000,1.8,32,86,0.01,North American
Barbados,287375,0.12,350,668,430,-79,1.6,40,31,0,North American
Belize,397628,1.86,7275,17,22810,1200,2.3,25,46,0.01,North American
Canada,37742154,0.89,331107,4,9093510,242032,1.5,41,81,0.48,North American
Costa Rica,5094118,0.92,46557,100,51060,4200,1.8,33,80,0.07,North American
Cuba,11326616,-0.06,-6867,106,106440,-14400,1.6,42,78,0.15,North American
Curacao,164093,0.41,669,370,444,515,1.8,42,89,0,North American
Dominican Republic,10847910,1.01,108952,225,48320,-30000,2.4,28,85,0.14,North American
El Salvador,6486205,0.51,32652,313,20720,-40539,2.1,28,73,0.08,North American
Greece,10423054,-0.48,-50401,81,128900,-16000,1.3,46,85,0.13,North American
Guadeloupe,400124,0.02,68,237,1690,-1440,2.2,44,,0.01,North American
Guatemala,17915568,1.9,334096,167,107160,-9215,2.9,23,52,0.23,North American
Haiti,11402528,1.24,139451,414,27560,-35000,3,24,57,0.15,North American
Honduras,9904607,1.63,158490,89,111890,-6800,2.5,24,57,0.13,North American
Jamaica,2961167,0.44,12888,273,10830,-11332,2,31,55,0.04,North American
Martinique,375265,-0.08,-289,354,1060,-960,1.9,47,92,0,North American
Mexico,128932753,1.06,1357224,66,1943950,-60000,2.1,29,84,1.65,North American
Nicaragua,6624554,1.21,79052,55,120340,-21272,2.4,26,57,0.08,North American
Panama,4314767,1.61,68328,58,74340,11200,2.5,30,68,0.06,North American
Puerto Rico,2860853,-2.47,-72555,323,8870,-97986,1.2,44,,0.04,North American
Saint Lucia,183627,0.46,837,301,610,0,1.4,34,19,0,North American
Trinidad and Tobago,1399488,0.32,4515,273,5130,-800,1.7,36,52,0.02,North American
U.S. Virgin Islands,104425,-0.15,-153,298,350,-451,2,43,96,0,North American
United States,331002651,0.59,1937734,36,9147420,954806,1.8,38,83,4.25,North American
